Listing_Date,Seller_Type,Sold_Status,Sold_Date,Listing_Year,Listing_Make,Listing_Model,Mileage,Condition,Price,Listing_Color,VIN,City,State,Listing_Body_Type,Listing_Transmission,Listing_Transmission_Detail,Drivetrain,Listing_Model_Detail,Listing_URL,Listing_Title,Listing_Description
"07-12-2017, 02:58 PM",Dealer Inventory,0,, 2009,Porsche,911,28617,Used, $61900, Porsche racing green,WP0AB29909S720315,Midlothian VA,, Coupe,Auto, PDK,2WD,,https://rennlist.com/forums/showthread.php?t=999351,2009 911 S Coupe-Porsche Racing Green,"Offering a beautiful 2009 Porsche 911 S coupe in Porsche Racing Green. This vehicle was recently purchased from High Line auction and is being offered for $62,900. Please call, text, PM if you have any questions. One of the best colors out there for the 997! 

Specs:
PDK
Self dimming mirrors 
Heated seats
Heated steering wheel
19 inch Carrera S II wheel 
Bluetooth interface 
Sport Chrono Package Plus
Bose
XM Radio 
Universal Audio Interface 
Porsche Racing Green Metallic 
Power comfort Seats 
Sand Beige Standard Leather 

Original MSRP $98,075 

Pics:




























		"
"08-30-2017, 09:14 PM",Private Party,0,, 2004,Porsche,911,33000,Used, $88000, arctic silver,,,Qc, Coupe,Manual, Manual - 6 speed,2WD, 996,https://rennlist.com/forums/showthread.php?t=1023040,FS GT3 996 2004,"2004 GT3 Canadian Car
MONTREAL QUEBEC
VIN# WP0AC29934S692631
ODOMETER 55,500 KM (~33,000 miles)
ARCTIC SILVER / BLACK LEATHER INTERIOR 
NO ACCIDENTS
NO PAINT
NO OVERREVS
~12 PCA DE EVENTS 2014-2016
ONLY STREET CAR PRIOR TO 2014
EQUIPMENT
ALL TRACK MODS DONE 2014&gt;2016
OEM PORSCHE GT3 EURO SEATS
OEM PORSCHE TECHQUIPMENT ROLL BAR
SCHROTH 6 PT HARNESS
HALON FIRE EXT
BBS E88 WHEELS GOLD CENTERS
NEW TROFEO R TIRES (1 DE day)
NEW GIRO DISC FRONT (1 DE day)
PINNED COOLANT LINES
ALL FILTERS / OILS / BRAKE/TRANNY FLUIDS serviced WeTune April 2017
FVD ECU FLASH (WeTune April 2017)
TARRET TRANS MOUNT
TARRET FRT/REAR DROP LINKS
RSS FRT LOWER CONTROL ARMS
RSS REAR LOWER CONTROL ARMS
RSS FRONT TOE LINKS
RSS REAR TOE LINKS / DOG BONES
JRZ RS PRO 2 - WAY Shocks, F600/R800 SPRINGS/HELPER SPRINGS/STAUBLI QUICK  DISCONNECTS
GUARD LSD
OEM GT3 REAR SPOILER with (2) set of shims
OEM PORSCHE CUP SHIFTER
OEM POSRCHE CUP CABLES
OEM PORSCHE CRANK LW PULLEY
OEM PORSCHE 4.0 LWF AND CLUTCH
RSS MOTOR MOUNTS
CARGRAPHIC 200 CELL CATS/SUPER SOUND MUFFLERS, PASSES SOUND AT TREMBLANT
PROTEX FILM COMPLETE HOOD/FENDERS
OEM PORSCHE CUP SPLITTER
NEW REAR WHEEL BEARINGS
RADIATOR SHIELDS
TAG ALARM
ADDITIONAL Equipment
Original exhaust system
Original suspension
Original front seats (perfect)
Original GT3 wheels with Michelin PS2 tires
Original rear spoiler
Original front splitter

$88,000 USD
$108,000 CAD
CAN SELL FOR LESS $ REMOVING BBS WHEELS,RS SPOILER
		"
"07-26-2017, 01:20 PM",Private Party,0,, 2008,Porsche,911,47000,Used, $45000, Black,WP0AB299X8S731885,,, Coupe,Manual, Manual - 6 speed,4WD, 911,https://rennlist.com/forums/showthread.php?t=1001626,2008 911 C4S,"Meticulously maintained, black on black, AWD, 911 C4S. 2 Owner car. Female driven. 4000 miles on new set of tires. Full set of winter rims and tires new in winter 2016 available for an additional $1,000. The car is garaged, serviced at all intervals, and is dent free. Minor scratches, all able to be buffed out. See option details in the attached pictures.
		"
"08-22-2017, 02:50 PM",Private Party,0,, 2006,Porsche,911,9500,Used, $64900, Green,,,TX, Coupe,Manual, Manual - 6 speed,2WD, Race Cars,https://rennlist.com/forums/showthread.php?t=1015469,Porsche 997 Cup For sale,"2006 997 cup gtc4 pca club racer. 2 sets of wheels. Very good condition.

Honu
Speed
At
G
Mail
Dot
Com
		"
"01-18-2017, 12:47 PM",Private Party,0,, 2004,Porsche,,48995,Used, $33000, silver,,,, Cabriolet,Manual, Manual - 6 speed,2WD,,https://rennlist.com/forums/showthread.php?t=971468,FS: F class national championship 2004 Boxster S car,"FS: F class national championship 2004 Boxster S car 


 I started racing at the end of 2014(2 races). (my first race car)
 Won national championship in 2015. 
 Raced the car a little in 2016 as a backup car and did DE with it. 
 No track record but all very close 1.49 at LCMT
1.34 at Mosport
2.27 at Sebring
2.08 at VIR
etc... 

special edition car, anniversary
 build date january 2014
  original engine and transmission 
 ims bearing and rms seal done
 stock clutch
 jrz 2 ways(rebuilt in november 2016 by tim Olsen)
 powersteering cooler
 transmission cooler with pump
 996 front end clip with gt3 front lip
 LCA arms solid bushings
 OMP R seat with Schroth harness
 cup cables with rennline shifter riser
 trackmate system
 fire suppression kit 
 gt2 brake ducts
 Getty fiberglass top with roof net 
 cargraphic catless headers 
 tarett front and rear swaybars with ajustable droplinks
 1x set of OZ wheels 
 cool suit system 
 Motorola radio system
 aerocatch front and rear 




 for pictures, 
http://www.987part.com/collections/r...class-race-car


 more Inside pictures to come 


 asking 35000$ usd

		"
"08-08-2017, 03:54 AM",Private Party,0,, 2007,Porsche,911,9150,Used, $102500, Carrera White,,,, Coupe,Manual, Manual - 6 speed,2WD, GT3,https://rennlist.com/forums/showthread.php?t=1005417,FS 2007 997 GT3,"All original no mods, Except the clear bumper lens. Does come with the original amber lens. Other then that just a replacement interstate car battery. No paint or body work. Does have clear bra along with mirror and quarter panel protective film. Surprisingly still has new car smell.  Never had conditioner or armor all applied on the interior. Tires are good. Garage kept.  No track time.  Located in Anaheim, CA

Update: 1) Clean Carfax report  2) DME: 0 over revs in all range. 3) New OEM lip from Suncoast Porsche
		"
"09-06-2017, 03:55 PM",Private Party,0,, 2016,Porsche,Boxster,12900,Used, $95000, guards red,,Perris,CA, Speedster,Manual, Manual - 6 speed,2WD, Boxster S,https://rennlist.com/forums/showthread.php?t=1024127,2016 GR BOXSTER SPYDER 4SALE,"2016 BOXSTER SPYDER. I have two and selling one. Guards Red, Burmester, Carbon/plastic Buckets, Painted PCM, Black Leather Interior. Two non major incidents on Carfax.
		"
"08-23-2017, 08:38 PM",Private Party,0,, 2007,Porsche,911,40619,Used, $97000, Carrara White,WP0AC29937S792796,Minneapolis,MN, Coupe,Manual, Manual - 6 speed,2WD, GT3,https://rennlist.com/forums/showthread.php?t=1016706,2007 997 GT3 with GT2 buckets,"We are pleased to present this clean 2-owner Carrara White 2007 911 GT3 for a local client who currently resides out of state. The car has been in our care since it was purchased in February 2016. It is presently stored in a climate controlled garage with 40,619miles. 

Price with GT2 buckets (pictured) - $97,000
Price with stock GT3 seats -$89,000

The car has four (4) desirable upgrades, each of which is reversible:
-Factory leather GT2 carbon buckets
-Factory Porsche Motorsport GT3 Cup lip
-Factory clear corner markers (stock orange markers included with sale
-FVD side muffler bypass (stock mufflers included with sale)

A PPI performed by Minneapolis Porsche on 08/15/17 includes a perfect DME with zero over-revs in all ranges. We've changed the oil in 3,000mi intervals with factory recommended fluid and parts. A 40,000mi major service (plugs, fluids, filters, chassis lubrication)  was recently completed as well.

As mentioned above, we're familiar with the car and would be happy to answer any car-related questions. Send us a PM or call (612) 547-9311 and we'll assist in connecting with the seller. Please visit this link for more images and additional information: http://www.311RS.com/current-invento...rsche-911-gt3/

Onto photos of the car -




















		"
"08-04-2017, 04:17 PM",Dealer Inventory,0,, 2015,Porsche,911,15794,Used, $131500, Jet black metallic,WP0AB2A95FS125659,Edison,NJ, Coupe,Auto, PDK,4WD,,https://rennlist.com/forums/showthread.php?t=1003112,2015 Porsche 911 4 GTS,"Hello Everyone!
 
Here is a 2015 Porsche 911 4 GTS coupe, 15594 miles, with an aero kit, 18 way adapative sport seats, burmester, etc. Its jet black metallic with a GTS interior package. This GTS is probably one of the most highly optioned vehicles in the whole country.
 
 Original MSRP: 177,095
Selling Price: 131,500
 
Vehicle will be sold with a CPO warranty which is 6years/100k miles, whichever comes first, from the original in date service of May 21,2015.
 
I took a few photos of the car before it went through our service center but will have more detailed photos once it comes back from my prep shop.
 
More photos:
 http://locator.porsche.com/ipl-custo...ails.ipl?cid=1
 "
"05-06-2017, 01:59 PM",Dealer Inventory,0,, 2016,Porsche,911,250,New, $239995, White,,,, Coupe,Auto, PDK,2WD,,https://rennlist.com/forums/showthread.php?t=988977,2016 GT3RS One of One White/Red,"This RS is One of One for the US for sure, maybe the world? It's also one of the best spec'd RS's I've seen. It's white with CXX options in red including graphics, wheels, mirrors, etc. It has full leather, red door pulls, red belts, black headlights. Nearly new with only 250 miles. I'll put a few pics below and a link to a bunch more. Incredible in person, very unique and a throw back to the older generation RS's. It also has clear bra on the front, sides and front of rear hips. My contact info is in my signature below. Thank you

http://www.ddwpartners.com/2016-Pors...-85255/6182464
		"
"08-21-2017, 12:00 PM",Private Party,0,, 2007,Porsche,911,70000,Used, $65000, Any,,Chicagoland Area,, Coupe,Manual, Manual - 6 speed,4WD,,https://rennlist.com/forums/showthread.php?t=1013462,WTB: 07-09 6-SPD 911TT,"Looking to buy low-average mileage 2007-2009 911 turbo coupe (&lt; 70k miles) somewhere around $55k-$65k. Pretty open on color schemes, definitely needs to be a 6 speed coupe though. 

Must need options:
- Sport Chrono
- Adaptive Sport seats

Nice to Have:
- Rear LSD
- PCCB

Open to traveling to pick the car up. Thanks friends!
		"
"08-23-2017, 07:52 PM",Dealer Inventory,0,, 2016,Porsche,911,7588,Used, $121995, NIGHT BLUE METALLIC,WP0AB2A96GS122853,Larchmont NY,, Coupe,Auto, PDK,2WD,,https://rennlist.com/forums/showthread.php?t=1016702,2016 CPO 911 GTS,"This car is priced right, has good mileage and the build is sweet. PM/reply with questions or comments.  

2016 Porsche 911 Carrera GTS
Prod Month: 10/2015
VIN: WP0AB2A96GS122853 Price: $140,815.00
Exterior: Dark Blue Metallic Interior: Black Leather Interior incl.
Alcantara
Warranty Start: December 16, 2015
Additional Equipment
027 Instrument Dials in Carmine Red
088 GTS Interior Package
250 Porsche Doppelkupplung (PDK)
435 20"" 911 Turbo S Wheels
583 Smoking package
638 ParkAssist (Front and Rear) with
Reversing Camera
651 Electric slide/tilt sunroof
840 SportDesign steering wheel
GQ Black Leather Interior incl. Alcantara
N4 Dark Blue Metallic
P07 Adaptive Sport Seats Plus (18-way) with
Memory Package
P3H BOSE
P3J Premium Package Plus i.c.w. Adaptive
Sport Seats Plus (18-way w/ Alcantara
XAJ Side Skirts Painted
XCS SportDesign exterior mirror lower trims
painted in Black (high-gloss)
XES Preparation door-sill guards, illuminated
XHM Center Console Trim in Carbon Fiber
XXD Door-Sill Guards in Carbon Fiber,
Illuminated
		"
"08-02-2017, 09:24 PM",Dealer Inventory,0,, 2011,Porsche,911,11900,Used, $235900, Black,,,, Coupe,Manual, Manual - 6 speed,2WD,,https://rennlist.com/forums/showthread.php?t=1002806,2011 GT3RS Paint to Sample Black,"2011 GT3RS Paint to Sample Black. I have been told there's only 3-4 Black 2011 RS's in the country. This car is really nice. Brand new Sport Cup 2 Tires. original paint, zero over revs, clean history. I also just paint corrected and ceramic coated the entire car. I was going to send it to auction up in Monterey but decided not to so here she is up on Rennlist first. Every other PTS 997.2 RS is $260-320k so I have this one priced well below all the others. Here's a link to 50+ pics. Please call or email with any questions. Thank you

http://www.ddwpartners.com/2011-Pors...-85255/6225491
		"
"07-28-2017, 09:22 AM",Private Party,0,, 1987,Porsche,911,96000,Used, $9600, Guards Red,,,, Coupe,Manual, Manual - 5 speed,2WD, 924S,https://rennlist.com/forums/showthread.php?t=1001922,1987 924S - the one you want!,"FOR SALE:  1987 Porsche 924S, Guards Red, black interior, very clean, 
96K documented miles, numbers matching; factory 2.5L fuel injected 
4 cyl. 944 motor, 5 speed (G50), complete new and updated Sachs clutch,
new Gates Kevlar timing and balance belts, pulleys, etc., 
water pump/thermostat/thermoswitch and sender, new Bilstein shocks and 
struts, cold A/C, Blaupunkt AM/FM/Cassette, Michelin tires in good shape, 
15 in factory Phone Dial alloy rims.  Complete service history.  Regular 3k mile 
oil changes. Try to find another in this condition. NADA average retail is $9,600. 
Make me an offer.  Bought a 911S and only so much room in the garage.... 

Rob   573-864-2154
		"
"07-20-2017, 06:18 PM",Dealer Inventory,0,, 2010,Porsche,911,16000,Used, $67000, White,WP0AB2A95AS720701,Knoxville,TN, Coupe,Auto, PDK,2WD,,https://rennlist.com/forums/showthread.php?t=1000642,2010 911 Carrera S X-51 Powerkit!!!,"2010 997.2 PDK   Suncoast Porsche car - spec ordered
On consignment in Tampa, FL - Appointments can be made to view and or pick up the car.
X51 PACKAGE!!! -  X51 Carrera S Powerkit - Engine upgrade - modified cylinder heads, variable resonance intake manifold with six tuning flaps, dual intake carbon fiber air filter casing, sports exhaust system, modified engine management ECU - Approx/420HP (up from 385)
16,000 miles
No dings no scratches  Full front PPF - Xpel film
Full leather, sport adaptive seats, sport chrono package plus, custom forged wheels, custom rear adjustable toe arms, new Bridgestone tires, Techart front lip spoiler.  Full cleaning of underside, bushings replaced, H &amp; R Springs,  Signature Custom Forged Wheels - 19in, TechArt front lip, 200 miles on the tires and wheels

X51 pack - PDK - Full Leather - Adaptive Sport Seats - PASM Sport Suspension - Rear Window Wiper - Heated front seats - Fire Extinguisher - Parking Assist - Sport Chrono Package Plus - Navigation - Bose - Crest in the Headrest - Universal Audio Interface - Window Sticker - Stone Grey and black upgraded steering wheel - Tequipment - New Michelin Tires  -Machine solutions wheel studs - 
MSRP - 130,610










































		"
"08-25-2017, 02:03 AM",Private Party,0,, 2019,Porsche,911,34510,Used, $47850, Arctic Silver Metallic,WP0AA29989S706519,,, Coupe,Manual, Manual - 6 speed,4WD, 911,https://rennlist.com/forums/showthread.php?t=1018985,"2009 997.2 C4 manual 34,500 miles one-owner","I have a 997.2 C4 up for sale in Arctic Silver metallic. Very clean car, no paintwork, no issues, one owner up until the time I purchased from that in April (carfax may still say one owner, not sure).  I have all service records from the day it was born.  6-speed, Sport Chrono, PDLS, Bose, sunroof. It is a $94k build.  Easily a 9/10 in and out, carefully driven by the prior owner (an enthusiast who is very meticulous about his cars) and myself. He ""upgraded"" to a TTS....Personally, I have never taken the car above 3,000 RPM until I see the oil temp reading 185.  One tiny scratch on the rear decklid, and a few rock chips on the front bumper and low hood (the car doesn't have a clear bra, which is really the ONLY thing I can negatively say about it, condition wise, aside from a bit of wear on the driver's side bolster, and 2 very light scuffs on the e-brake handle.  It has been babied, to say the least. Just driven the ""right amount"". In the interest of disclosure, he did say he attended one HDPE; the inspection was great, no overrev issues. You won't be disappointed. I have not titled it; threw on the ""Porsche Rancho Mirage"" when I drove it home after purchasing it after business hours and could't yet get a temp tag. 

The previous owner said he waxed it every 3 months with Zymol, and I believe him. The clear coat is pristine: it looks to never have seen an automated carwash.  My neighbors, who don't know Porsche, thought it was maybe a year or 2 old, people were blown away when they found out it was going on a decade now.  

Mods by previous owner:
integrated radar/laser detector
Gundo Hack
Ceramic tint on windows

Mods by me: Bilstein B8 struts and H&amp;R springs (supposedly the ""X73"" option for this car that was not offered in the states; we got PASM instead).  Stock struts included with sale.  It really tightens up this car!  

Reason for selling: a month after purchase, I fell into a good deal on a C2S 6MT. They are different cars, but equally enjoyable.  I am sticking with the C2S because it has full natural leather; I really fell in love with it. Performance wise, the cars are very similar on back roads; touch more power with the C2S and less weight, a bit more playful, the C4 is a bit more planted and pulls you through the turn more, feel like it can be pushed a bit harder, it also looks subjectively better with the ""wide hips"".  With that said, if the C2S hadn't fallen into my lap, I would be very happy enjoying this car for the next however many years.  I have enjoyed each and every mile on it.  Either car has plenty of power, even at 4200 feet. 

I am planning on giving this to the local dealer to have them consign it, but I figured I would throw it up here first.  Please, no offers.  Asking price is firm; just looking to get out of it what I am into it for.  I will likely have that price after the consignment cut anyways, and no headaches for me, but if someone really wants her, feel free to give me a shout. I can add interior pics when I have better light.
		"
"08-25-2017, 04:19 AM",Private Party,1,"9-7-2017, 21:0", 2009,Porsche,911,77000,Used, $35000, Macadamia Metallic,,,, Coupe,Auto, PDK,2WD, 911,https://rennlist.com/forums/showthread.php?t=1019531,2009 Porsche 911 Carrera,"2009 Porsche 911 Carrera (C2) PDK - Macadamia Metallic brown, a rare and attractive color.  I recently (July 2017) took it for service at Porsche of Tucson (including a PDK service with new updated module)  It drives and shifts without any issue.  Mechanically, this 911 is in excellent condition. No accidents and clean Texas title.  It has 76,xxx miles and not going up because I have it in my garage.    Asking price is: $35,000 or best offer.  I will include an extra set of OEM wheels.  Feel free to text/call: 915-252-6205 (David)

SOLD
		"
"09-02-2017, 09:36 PM",Private Party,0,, 1979,Porsche,911,21926,Used, $140000, Diamond Silver Metallic,,Houston,TX, Coupe,Manual, Manual - 5 speed,2WD,,https://rennlist.com/forums/showthread.php?t=1023547,"1979 Porsche 930 Turbo - 21,926 miles!","1979 Porsche 930 Turbo for sale. The owner of this vehicle was a close personal friend of mine and cemented my love for 911's. I am helping his widow sell this vehicle as a favor. I will be traveling to the location of the vehicle and can answer any questions. She has given me authority to approve a sale (I am an attorney) and I have loved this car for years. 

I have personally driven this vehicle over ten times and recently. Unfortunately, I am only 31 and can't afford this yet so I am here to help her as a seller as well as any potential buyers. I am very responsive and love talking cars with potential buyers. We are reasonable and friendly sellers and look forward to working with some of you. 

We have the certificate of authenticity and this car has been in climate controlled garage. No modifications. Recent inspection for rust with no issues. You may text or call me at 703-915-6273. Prefer text initially. Text anytime call between 9am- 11pm. 

$140,000 OBO.

        Color   Ext.:   Diamond Silver Metallic       Color Int.: Black Leather
VIN:   9309801132 
      MILEAGE:   21926       
RUST?:   No rust Confirmed via inspection in 06/2017 
      Cert of Auth?   Yes       
MFG Date:   Dec-79       
Engine Number: 6890840       
Trans #:   7792043
Service Records:   Everything
		"
"09-02-2017, 07:44 PM",Private Party,0,, 2015,Porsche,,4369,Used, $149500, Black,,,, Coupe,Manual, Manual - 6 speed,2WD, Race Cars,https://rennlist.com/forums/showthread.php?t=1023537,991 2015 Cup Car,"2015 cup car
 
Good condition, no big accident. Will be supplied with 2 sets rims.
 
6877 km / 48 Hours
 
Add 45 minutes to run time shown.
		"
"08-23-2017, 04:57 PM",Private Party,0,, 2012,Porsche,Cayenne,59000,Used, $33500, Dark Blue Metallic/Platinum Grey,WP1AA2A22CLA05344,Ohio,, Coupe,Manual, Manual - 6 speed,4WD, Cayenne,https://rennlist.com/forums/showthread.php?t=1016667,FS: 2012 Cayenne w/Manual Transmission 59k miles,"Excellent condition 2012 Porsche Cayenne V6 w/Manual Transmission
Dark Blue w/Platinum Grey Leather interior
59k miles
I am second owner. Title in hand.
All maintenance up to date.
10k, 20k, 30k, 40k and 50k completed at Porsche North Olmsted
Transfer Case and Water Pump both replaced under warranty
At 54,530 miles (April 14th, 2017), Porsche 20"" OEM wheels and tires installed. Porsche OEM aluminum &amp; rubber sport pedals installed.
New brake rotors and pads installed. Brake fluid flushed and replaced. Clutch oil flushed and replaced. Cabin filter replaced. Oil and filter changed.
Brake calipers refinished in gloss black with new Porsche decals completed.
Walnut heated steering wheel, heated seats, navigation, walnut trim on doors and dashboard as well as center console. Stainless steel door sills, comfort light package and weather tech floor liners and new Porsche OEM carpet floor mats.
Clean Carfax

Cayenne's are hard to find with the manual transmission in this condition.
Serious inquiries only please.
		"
