Id,VIN,Model,MSRP,CreateDate
2028,WP1AC2A23BLA82877,2011 Porsche Cayenne Turbo E2,112820,2016-06-20 16:32:07.443000000
2029,WP1AC2A21BLA87379,2011 Porsche Cayenne Turbo E2,144775,2016-06-29 16:15:33.170000000
2030,WP1AC2A27DLA91262,2013 Porsche Cayenne Turbo,118005,2016-07-07 18:34:44.883000000
2031,WP1AC2A2XCLA82697,2012 Porsche Cayenne Turbo E2,125115,2016-07-16 14:11:47.800000000
2032,WP1AB2A27CLA41530,2012 Porsche Cayenne S E2 I,76065,2016-07-20 16:10:16.487000000
2033,WP0AB2A84FK180238,2015 Porsche Cayman GTS,84035,2016-08-13 15:31:25.203000000
2034,WP1AF2A29FLA32157,2015 Porsche Cayenne Diesel,81660,2016-08-13 19:32:51.660000000
2035,WP0CB2A86CS745156,2012 Porsche Boxster Spyder,67675,2016-08-14 02:51:39.387000000
2036,WP1AA2A26BLA08200,2011 Porsche Cayenne Tip E2 I,61465,2016-08-14 05:26:45.547000000
2037,WP1AB2A52FLB56714,2015 Porsche Macan S,62215,2016-08-14 11:25:10.583000000
2038,WP1AB2A53GLB52009,2016 Porsche Macan S,66515,2016-08-14 11:26:06.830000000
2039,WP1AF2A59FLB97460,2015 Porsche Macan Turbo,92260,2016-08-14 11:27:24.167000000
2040,WP1AF2A50FLB47062,2015 Porsche Macan Turbo,80950,2016-08-14 11:29:43.080000000
2041,WP1AF2A54FLB47016,2015 Porsche Macan Turbo,80260,2016-08-14 11:30:27.030000000
2042,WP1AF2A59GLB92857,2016 Porsche Macan Turbo,88530,2016-08-14 11:31:02.777000000
2043,WP1AF2A55FLB47073,2015 Porsche Macan Turbo,80950,2016-08-14 11:31:34.533000000
2044,WP1AF2A55FLB47056,2015 Porsche Macan Turbo,80260,2016-08-14 11:31:54.607000000
2045,WP1AF2A53FLB47072,2015 Porsche Macan Turbo,80260,2016-08-14 11:32:15.500000000
2046,WP1AF2A59GLB95113,2016 Porsche Macan Turbo,90820,2016-08-14 11:32:52.847000000
2047,WP1AE2A28GLA62755,2016 Porsche Cayenne S E-Hybrid,88150,2016-08-14 19:06:55.423000000
2048,WP1AE2A22FLA53516,2015 Porsche Cayenne S E-Hybrid,87005,2016-08-14 20:44:40.343000000
2049,WP0AB2A85EK192087,2014 Porsche Cayman S,86380,2016-08-15 12:56:06.530000000
2050,WP0AC2A93FS184027,2015 Porsche 911 GT3,149510,2016-08-15 13:18:53.410000000
2051,WP1AA2A20BLA07480,2011 Porsche Cayenne Tip E2 I,67900,2016-08-15 13:22:02.940000000
2052,WP1AA29P49LA09694,2009 Porsche Cayenne Tiptronic,56650,2016-08-15 13:26:33.810000000
2053,WP1AB29P55LA62556,2005 Porsche Cayenne S,66875,2016-08-15 17:00:32.973000000
2054,WP1AC29P68LA90349,2008 Porsche Cayenne Turbo,134175,2016-08-15 17:45:09.823000000
2055,WP1AE2A28FLA52516,2015 Porsche Cayenne S E-Hybrid,87750,2016-08-15 23:27:30.530000000
2056,WP0AB29973S686672,2003 Porsche 911 Turbo Coupe,132145,2016-08-16 01:37:32.323000000
2057,WP0AB29915S741815,2005 Porsche Carrera S Coupe,92125,2016-08-16 09:19:31.783000000
2058,WP1AC2A29FLA82629,2015 Porsche Cayenne Turbo,125525,2016-08-16 14:53:59.200000000
2059,WP1AC2A2XELA85778,2014 Porsche Cayenne Turbo S,166895,2016-08-16 15:04:05.560000000
2060,WP1AC2A29GLA88707,2016 Porsche Cayenne Turbo,134005,2016-08-16 15:05:51.393000000
2061,WP1AC2A23FLA82965,2015 Porsche Cayenne Turbo,123830,2016-08-16 15:07:48.343000000
2062,WP1AC2A28FLA80550,2015 Porsche Cayenne Turbo,123275,2016-08-16 15:08:08.220000000
2063,WP1AC2A27FLA82872,2015 Porsche Cayenne Turbo,130115,2016-08-16 15:08:24.690000000
2064,WP1AC2A23GLA88198,2016 Porsche Cayenne Turbo,140370,2016-08-16 15:09:13.717000000
2065,WP1AC2A24GLA86458,2016 Porsche Cayenne Turbo S,183235,2016-08-16 15:09:35.260000000
2066,WP1AC2A28GLA85197,2016 Porsche Cayenne Turbo S,175535,2016-08-16 15:10:19.523000000
2067,WP1AC2A20GLA85078,2016 Porsche Cayenne Turbo S,184335,2016-08-16 15:11:25.327000000
2068,WP1AC2A25ELA87910,2014 Porsche Cayenne Turbo S,157085,2016-08-16 15:19:55.517000000
2069,WP1AE2A28FLA53679,2015 Porsche Cayenne S E-Hybrid,85620,2016-08-16 22:28:34.540000000
2070,WP1AC2A2XCLA81680,2012 Porsche Cayenne Turbo,115400,2016-08-17 13:12:26.250000000
2071,WP1AD2A21ELA73483,2014 Porsche Cayenne GTS,111260,2016-08-17 14:16:52.017000000
2072,WP1AE2A25FLA51498,2015 Porsche Cayenne S E-Hybrid,89115,2016-08-17 17:29:22.050000000
2073,WP0AA2A90ES106339,2014 Porsche 911 Carrera 4,102250,2016-08-17 17:59:45.287000000
2074,WP0AB2A95CS720703,2012 Porsche Carrera S Coupe,103600,2016-08-17 18:00:55.860000000
2075,WP0CB2A93CS754342,2012 Porsche 911 Carrera S Cabriolet,111195,2016-08-17 18:03:43.033000000
2076,WP0AB2A90DS121841,2013 Porsche 911 Carrera S,108955,2016-08-17 18:09:04.557000000
2077,WP0AB2A94CS122098,2012 Porsche The new 911 Carrera S,114260,2016-08-17 18:09:45.917000000
2078,WP1AC2A28DLA90329,2013 Porsche Cayenne Turbo,144965,2016-08-18 08:26:56.640000000
2079,WP1AA2A20GLA10645,2016 Porsche Cayenne,72075,2016-08-18 10:11:36.040000000
2080,WP1AA2A26GLA04333,2016 Porsche Cayenne,76170,2016-08-18 10:12:29.453000000
2081,WP1AA2A27GLA09010,2016 Porsche Cayenne,69590,2016-08-18 13:34:09.407000000
2082,WP1AB2A23ELA56755,2014 Porsche Cayenne S,83930,2016-08-18 13:55:40.910000000
2083,WP1AD2A26DLA73106,2013 Porsche Cayenne GTS,95865,2016-08-18 14:01:53.550000000
2084,WP1AC2A2XFLA81215,2015 Porsche Cayenne Turbo,130360,2016-08-18 16:30:16.767000000
2085,WP1AC2A2XFLA81215,2015 Porsche Cayenne Turbo,130360,2016-08-18 16:30:16.767000000
2086,WP1AC2A2XFLA81215,2015 Porsche Cayenne Turbo,130360,2016-08-18 16:30:16.947000000
2087,WP1AC29PX5LA90141,2005 Porsche Cayenne Turbo,106320,2016-08-18 16:31:15.927000000
2088,WP0AB2A93DS123180,2013 Porsche 911 Carrera S,107860,2016-08-18 17:27:35.473000000
2089,WP0AB2A94CS121517,2012 Porsche The new 911 Carrera S,103995,2016-08-18 17:32:16.367000000
2090,WP0AB2A92CS120284,2012 Porsche The new 911 Carrera S,121635,2016-08-18 17:33:47.373000000
2091,WP1AA2A2XGKA36014,2016 Porsche Cayenne,73430,2016-08-19 13:02:49.310000000
2092,WP0AB29857U780390,2007 Porsche Cayman S,64630,2016-08-19 13:11:09.650000000
2093,WP0AB2A96BS720689,2011 Porsche 911 Carrera GTS,119100,2016-08-19 18:43:09.350000000
2094,WP1AC2A24DLA91588,2013 Porsche Cayenne Turbo E2,125560,2016-08-19 19:19:07.367000000
2095,WP1AC2A21DLA90169,2013 Porsche Cayenne Turbo,122605,2016-08-19 19:19:32.190000000
2096,WP1AC2A28DLA92792,2013 Porsche Cayenne Turbo,115975,2016-08-19 19:19:49.697000000
2097,WP1AC2A21DLA91127,2013 Porsche Cayenne Turbo,113830,2016-08-19 19:20:12.430000000
2098,WP1AC2A24DLA92918,2013 Porsche Cayenne Turbo E2,130995,2016-08-19 19:20:31.657000000
2099,WP1AC2A21DLA92987,2013 Porsche Cayenne Turbo,120275,2016-08-19 19:20:59.183000000
2100,WP1AC2A24ELA81015,2014 Porsche Cayenne Turbo,135560,2016-08-19 19:22:26.190000000
2101,WP1AC2A22ELA81000,2014 Porsche Cayenne Turbo,128880,2016-08-19 19:22:45.150000000
2102,WP1AC2A21ELA81084,2014 Porsche Cayenne Turbo,134945,2016-08-19 19:23:04.603000000
2103,WP1AC2A26ELA80142,2014 Porsche Cayenne Turbo,123985,2016-08-19 19:23:26.307000000
2104,WP1AC2A29ELA80975,2014 Porsche Cayenne Turbo,118760,2016-08-19 19:24:38.367000000
2105,WP1AC2A22ELA81160,2014 Porsche Cayenne Turbo,123210,2016-08-19 19:24:54.080000000
2106,WP1AC2A20FLA80722,2015 Porsche Cayenne Turbo,121365,2016-08-19 19:30:49.003000000
2107,WP1AC2A21FLA81300,2015 Porsche Cayenne Turbo,136820,2016-08-19 19:31:06.243000000
2108,WP1AC2A29FLA80704,2015 Porsche Cayenne Turbo,121215,2016-08-19 19:31:42.897000000
2109,WP1AC2A23FLA80651,2015 Porsche Cayenne Turbo,124455,2016-08-19 19:32:00.117000000
2110,WP1AC2A29FLA80475,2015 Porsche Cayenne Turbo,120975,2016-08-19 19:32:19.420000000
2111,WP1AC2A27FLA81141,2015 Porsche Cayenne Turbo,126800,2016-08-19 19:32:33.803000000
2112,WP1AC2A20FLA82115,2015 Porsche Cayenne Turbo,125140,2016-08-19 19:32:49.680000000
2113,WP1AC2A20FLA80459,2015 Porsche Cayenne Turbo,121365,2016-08-19 19:33:32.997000000
2114,WP1AC2A22FLA80835,2015 Porsche Cayenne Turbo,120880,2016-08-19 19:33:49.283000000
2115,WP1AC2A28GLA88147,2016 Porsche Cayenne Turbo,128775,2016-08-19 19:35:48.663000000
2116,WP1AC2A21GLA88233,2016 Porsche Cayenne Turbo,130655,2016-08-19 19:36:08.313000000
2117,WP1AC2A23GLA88945,2016 Porsche Cayenne Turbo,132265,2016-08-19 19:36:31.807000000
2118,WP1AC2A21GLA89107,2016 Porsche Cayenne Turbo,130710,2016-08-19 19:37:45.170000000
2119,WP1AC2A20ELA85501,2014 Porsche Cayenne Turbo S,164190,2016-08-19 19:44:29.850000000
2120,WP1AC2A27ELA87603,2014 Porsche Cayenne Turbo S,154100,2016-08-19 19:44:58.877000000
2121,WP1AC2A28ELA85388,2014 Porsche Cayenne Turbo S,169525,2016-08-19 19:45:20.900000000
2122,WP1AC2A23ELA85749,2014 Porsche Cayenne Turbo S,170305,2016-08-19 19:46:18.580000000
2123,WP1AC2A21ELA85619,2014 Porsche Cayenne Turbo S,154765,2016-08-19 19:48:03.960000000
2124,WP1AC2A21ELA85653,2014 Porsche Cayenne Turbo S,156675,2016-08-19 19:48:28.820000000
2125,WP1AD2A23GLA72029,2016 Porsche Cayenne GTS,103665,2016-08-19 20:01:36.047000000
2126,WP1AD2A21ELA74293,2014 Porsche Cayenne GTS,84295,2016-08-19 20:01:55.747000000
2127,WP1AD2A27ELA78252,2014 Porsche Cayenne GTS,99545,2016-08-19 20:02:11.527000000
2128,WP1AD2A22ELA71306,2014 Porsche Cayenne GTS,104910,2016-08-19 20:02:30.033000000
2129,WP1AD2A26GLA73000,2016 Porsche Cayenne GTS,109135,2016-08-19 20:02:54.827000000
2130,WP1AD2A28GLA76657,2016 Porsche Cayenne GTS,110220,2016-08-19 20:03:18.467000000
2131,WP1AD2A24GLA75165,2016 Porsche Cayenne GTS,110900,2016-08-19 20:04:35.370000000
2132,WP1AD2A29GLA72634,2016 Porsche Cayenne GTS,109695,2016-08-19 20:05:52.890000000
2133,WP1AD2A26GLA77693,2016 Porsche Cayenne GTS,106695,2016-08-19 20:07:15.040000000
2134,WP1AD2A24ELA77298,2014 Porsche Cayenne GTS,102680,2016-08-19 20:07:59.430000000
2135,WP0AB2A95ES120606,2014 Porsche 911 Carrera 4S,125285,2016-08-19 21:52:23.980000000
2136,WP0AB2A93BS720794,2011 Porsche 911 Carrera GTS,123920,2016-08-20 00:26:46.737000000
2137,WP0AB2A92CS720156,2012 Porsche 911 Carrera GTS,118055,2016-08-20 00:44:33.900000000
2138,WP0AB2A99CS720266,2012 Porsche 911 Carrera GTS,119510,2016-08-20 00:46:17.420000000
2139,WP0AB29914S685261,2004 Porsche 911 Turbo Coupe,144590,2016-08-20 00:49:03.527000000
2140,WP0AD2A74EL044508,2014 Porsche Panamera S E-Hybrid,111555,2016-08-20 08:34:38.347000000
2141,WP1AE2A28GLA59029,2016 Porsche Cayenne S E-Hybrid,97675,2016-08-20 09:58:02.890000000
2142,WP1AD2AP2ALA62224,2010 Porsche Cayenne GTS Tiptronic,87790,2016-08-20 19:41:58.760000000
2143,WP0AD29987S786330,2007 Porsche 911 Turbo Coupe,127735,2016-08-21 19:37:25.903000000
2144,WP0CD2A90HS178355,2017 Porsche 911 Turbo S Cabriolet,231515,2016-08-22 01:35:12.717000000
2145,WP1AA2A27GKA09949,2016 Porsche Cayenne,74225,2016-08-22 13:13:36.937000000
2146,WP0AC299X7S792763,2007 Porsche 911 GT3,119410,2016-08-22 15:10:21.707000000
2147,WP1AC2A21DLA92911,2013 Porsche Cayenne Turbo,113560,2016-08-22 17:06:51.613000000
2148,WP1AC29P09LA82264,2009 Porsche Cayenne Turbo S,132820,2016-08-23 06:51:43.680000000
2149,WP1AC29P59LA81286,2009 Porsche Cayenne Turbo S,145075,2016-08-23 06:54:09.357000000
2150,WP1AC29P09LA81311,2009 Porsche Cayenne Turbo S,133200,2016-08-23 06:57:23.293000000
2151,WP1AB29P09LA44181,2009 Porsche Cayenne S,72940,2016-08-23 08:47:55.650000000
2152,WP1AA2A20ELA01845,2014 Porsche Cayenne Tiptronic,67360,2016-08-23 09:19:37.287000000
2153,WP0AB2A94DS120501,2013 Porsche The new 911 Carrera S,117755,2016-08-23 12:31:39.590000000
2154,WP1AA2A55HLB00112,2017 Porsche Macan,55095,2016-08-23 14:21:35.900000000
2155,WP1AA2A53HLB01923,2017 Porsche Macan,51400,2016-08-23 14:22:35.237000000
2156,WP1AB2A58HLB14146,2017 Porsche Macan S,61850,2016-08-23 15:36:23.360000000
2157,WP1AB2A58HLB14566,2017 Porsche Macan S,66305,2016-08-23 15:46:09.890000000
2158,WP1AC29P25LA92398,2005 Porsche Cayenne Turbo,101155,2016-08-23 22:06:15.427000000
2159,WP0AB2A97AS720148,2010 Porsche Carrera S Coupe,98775,2016-08-24 01:16:49.293000000
2160,WP1AB2A27BLA45883,2011 Porsche Cayenne S E2 I,91210,2016-08-24 13:14:51.327000000
2161,WP1AB2A24CLA40755,2012 Porsche Cayenne S E2 I,87860,2016-08-24 14:58:36.113000000
2162,WP1AA2A25GKA37829,2016 Porsche Cayenne,72490,2016-08-24 19:31:01.383000000
2163,WP1AA2A29HKA80717,2017 Porsche Cayenne Platinum Edition,73295,2016-08-24 19:33:26.333000000
2164,WP1AC29P59LA82390,2009 Porsche Cayenne Turbo S,134075,2016-08-24 19:57:03.920000000
2165,WP0AD2A70EL044974,2014 Porsche Panamera S E-Hybrid,108730,2016-08-24 23:37:23.557000000
2166,WP0AB29952S687186,2002 Porsche 911 Turbo Coupe,124905,2016-08-25 08:44:04.467000000
2167,WP0AB29975S685248,2005 Porsche 911 Turbo S Coupe,146750,2016-08-25 09:10:20.107000000
2168,WP0CB2A94BS755062,2011 Porsche 911 Carrera GTS Cabriolet,126250,2016-08-25 09:17:33.530000000
2169,WP1AB29P16LA68369,2006 Porsche Cayenne Titanium,73955,2016-08-25 10:01:50.763000000
2170,WP0CB29955S675469,2005 Porsche 911 Turbo S Cabriolet,149260,2016-08-25 10:10:03.363000000
2171,WP1AD2AP6ALA60055,2010 Porsche Cayenne GTS Tiptronic,94845,2016-08-25 12:37:36.463000000
2172,WP1AA2A24GKA11917,2016 Porsche Cayenne,75325,2016-08-25 13:58:08.717000000
2173,WP1AA2A28GLA03832,2016 Porsche Cayenne,68945,2016-08-25 14:02:11.960000000
2174,WP0AC29914S692322,2004 Porsche 911 GT3,117305,2016-08-25 14:28:11.313000000
2175,WP0AA29847U763082,2007 Porsche Cayman,52975,2016-08-25 21:51:45.050000000
2176,WP0AD2A95AS766183,2010 Porsche 911 Turbo Coupe,145920,2016-08-25 23:15:46.753000000
2177,WP1AD29P99LA60454,2009 Porsche Cayenne GTS Tiptronic,85625,2016-08-26 00:01:22.593000000
2178,WP1AC29P45LA91205,2005 Porsche Cayenne Turbo,98535,2016-08-26 15:45:46.387000000
2179,WP1AF2A56FLB94659,2015 Porsche Macan Turbo,88585,2016-08-26 20:12:48.287000000
2180,WP1AF2A58FLB95571,2015 Porsche Macan Turbo,89245,2016-08-26 20:15:23.130000000
2181,WP1AF2A59FLB96079,2015 Porsche Macan Turbo,86150,2016-08-26 20:17:24.720000000
2182,WP1AF2A52FLB95727,2015 Porsche Macan Turbo,99840,2016-08-26 20:20:14.353000000
2183,WP1AF2A56FLB97867,2015 Porsche Macan Turbo,84180,2016-08-26 20:29:49.850000000
2184,WP1AF2A50FLB93474,2015 Porsche Macan Turbo,81455,2016-08-26 20:32:39.167000000
2185,WP1AF2A53FLB91699,2015 Porsche Macan Turbo,79925,2016-08-26 20:34:47.130000000
2186,WP1AF2A54FLB92375,2015 Porsche Macan Turbo,85895,2016-08-26 20:48:20.697000000
2187,WP1AF2A53FLB97454,2015 Porsche Macan Turbo,89040,2016-08-26 20:50:52.723000000
2188,WP1AF2A52FLB90821,2015 Porsche Macan Turbo,86185,2016-08-26 20:54:50.860000000
2189,WP1AB2A50FLB66402,2015 Porsche Macan S,64510,2016-08-26 20:57:38.553000000
2190,WP1AB2A51GLB49724,2016 Porsche Macan S,66785,2016-08-26 21:00:27.050000000
2191,WP1AB2A51FLB74203,2015 Porsche Macan S,64950,2016-08-26 21:01:21.737000000
2192,WP1AB2A58FLB74036,2015 Porsche Macan S,62955,2016-08-26 21:04:00.490000000
2193,WP1AF2A53GLB92109,2016 Porsche Macan Turbo,83570,2016-08-26 21:16:37.387000000
2194,WP1AB2A55FLB63057,2015 Porsche Macan S,71395,2016-08-26 21:19:03.640000000
2195,WP1AF2A58FLB94954,2015 Porsche Macan Turbo,87540,2016-08-26 21:20:56.213000000
2196,WP1AB2A50GLB50931,2016 Porsche Macan S,69320,2016-08-26 21:22:59.963000000
2197,WP1AB2A58FLB69130,2015 Porsche Macan S,69165,2016-08-26 21:25:49.780000000
2198,WP1AA2A5XHLB01417,2017 Porsche Macan,54370,2016-08-26 21:30:03.980000000
2199,WP1AF2A55FLB90246,2015 Porsche Macan Turbo,89180,2016-08-26 21:32:45.113000000
2200,WP0AB29972S686718,2002 Porsche 911 Turbo Coupe,117120,2016-08-26 21:58:19.850000000
2201,WP0CA2A85DS113575,2013 Porsche Boxster,67320,2016-08-26 23:14:53.303000000
2202,WP1AB2A53FLB61842,2015 Porsche Macan S,69950,2016-08-27 02:08:41.810000000
2203,WP1AB2A5XGLB55215,2016 Porsche Macan S,72810,2016-08-27 02:11:55.183000000
2204,WP1AF2A59GLB93703,2016 Porsche Macan Turbo,88525,2016-08-27 02:17:23.800000000
2205,WP1AB2A55FLB56805,2015 Porsche Macan S,59980,2016-08-27 02:21:19.847000000
2206,WP1AB2A58FLB57009,2015 Porsche Macan S,62910,2016-08-27 02:23:02.557000000
2207,WP1AF2A58FLB97837,2015 Porsche Macan Turbo,82310,2016-08-27 02:25:39.573000000
2208,WP1AB2A5XGLB48264,2016 Porsche Macan S,63445,2016-08-27 02:35:55.953000000
2209,WP1AB2A58FLB42574,2015 Porsche Macan S,63985,2016-08-27 02:37:12.653000000
2210,WP1AB2A59GLB41693,2016 Porsche Macan S,70285,2016-08-27 02:38:28.777000000
2211,WP1AB2A54FLB65673,2015 Porsche Macan S,63720,2016-08-27 02:45:09.970000000
2212,WP1AB2A57GLB53129,2016 Porsche Macan S,84715,2016-08-27 02:47:37.190000000
2213,WP1AF2A51FLB98134,2015 Porsche Macan Turbo,93835,2016-08-27 02:49:59.863000000
2214,WP1AB2A52FLB44711,2015 Porsche Macan S,61810,2016-08-27 02:52:17.957000000
2215,WP1AF2A5XFLB47425,2015 Porsche Macan Turbo,84695,2016-08-27 03:05:56.990000000
2216,WP1AF2A57FLB92760,2015 Porsche Macan Turbo,87530,2016-08-27 03:23:09.320000000
2217,WP1AB2A59GLB47316,2016 Porsche Macan S,66215,2016-08-27 03:24:22.147000000
2218,WP1AB2A58GLB49669,2016 Porsche Macan S,64315,2016-08-27 03:25:34.223000000
2219,WP1AB2A54FLB42538,2015 Porsche Macan S,64865,2016-08-27 03:28:34.980000000
2220,WP0AC299X7S792732,2007 Porsche 911 GT3,122775,2016-08-27 08:10:47.140000000
2221,WP0CB2A95BS754812,2011 Porsche 911 Carrera GTS Cabriolet,127955,2016-08-27 08:33:46.753000000
2222,WP1AB2A50GLB44577,2016 Porsche Macan S,65970,2016-08-27 15:49:03.120000000
2223,WP1AC29P55LA91133,2005 Porsche Cayenne Turbo,94540,2016-08-27 22:17:53.020000000
2224,WP1AB2A54GLB53363,2016 Porsche Macan S,63155,2016-08-28 06:26:37.383000000
2225,WP1AB2A54GLB49703,2016 Porsche Macan S,67155,2016-08-28 06:32:28.280000000
2226,WP1AB2A58HLB10985,2017 Porsche Macan S,72870,2016-08-28 06:37:56.430000000
2227,WP1AG2A5XHLB51457,2017 Porsche Macan GTS,76240,2016-08-28 06:39:56.597000000
2228,WP1AF2A59FLB47092,2015 Porsche Macan Turbo,94080,2016-08-28 06:41:48.223000000
2229,WP1AB2A56FLB57090,2015 Porsche Macan S,83005,2016-08-28 06:51:23.783000000
2230,WP1AB2A58FLB50464,2015 Porsche Macan S,55595,2016-08-28 07:02:38.077000000
2231,WP1AF2A57GLB90489,2016 Porsche Macan Turbo,125140,2016-08-28 07:13:54.360000000
2232,WP1AB2A53GLB58263,2016 Porsche Macan S,71745,2016-08-28 07:20:38.790000000
2233,WP1AB2A54FLB59257,2015 Porsche Macan S,63330,2016-08-28 08:44:37.517000000
2234,WP1AB2A55FLB51989,2015 Porsche Macan S,67680,2016-08-28 08:48:07.750000000
2235,WP1AB2A5XFLB58128,2015 Porsche Macan S,65125,2016-08-28 08:56:58.130000000
2236,WP1AB2A55FLB61972,2015 Porsche Macan S,64050,2016-08-28 10:10:50.100000000
2237,WP1AB2A53FLB55359,2015 Porsche Macan S,65660,2016-08-28 10:11:40.717000000
2238,WP1AB2A56GLB40243,2016 Porsche Macan S,76460,2016-08-28 10:36:26.427000000
2239,WP1AB2A51GLB45186,2016 Porsche Macan S,66695,2016-08-28 11:02:55.773000000
2240,WP1AB2A57GLB54412,2016 Porsche Macan S,69185,2016-08-28 11:04:23.213000000
2241,WP1AF2A50FLB90431,2015 Porsche Macan Turbo,81675,2016-08-28 11:06:11.160000000
2242,WP1AB2A53GLB58604,2016 Porsche Macan S,65030,2016-08-28 11:07:19.010000000
2243,WP1AB2A59FLB44124,2015 Porsche Macan S,72425,2016-08-28 11:17:46.533000000
2244,WP1AB2A53HLB12501,2017 Porsche Macan S,67865,2016-08-28 11:20:53.467000000
2245,WP1AF2A5XFLB92185,2015 Porsche Macan Turbo,93210,2016-08-28 12:35:13.817000000
2246,WP1AB2A58HLB10355,2017 Porsche Macan S,70740,2016-08-28 17:13:02.397000000
2247,WP1AB2A55HLB14119,2017 Porsche Macan S,85775,2016-08-28 21:35:23.817000000
2248,WP1AA2A52HLB01475,2017 Porsche Macan,50940,2016-08-28 23:04:21.120000000
2249,WP1AB2A55HLB14296,2017 Porsche Macan S,69730,2016-08-28 23:17:48.683000000
2250,WP1AA29P49LA00932,2009 Porsche Cayenne Tiptronic,62440,2016-08-29 11:08:16.183000000
2251,WP1AB2A51HLB10391,2017 Porsche Macan S,65420,2016-08-29 15:36:30.170000000
2252,WP1AF2A53FLB48545,2015 Porsche Macan Turbo,88035,2016-08-30 07:02:05.477000000
2253,WP1AB2A23BLA54774,2011 Porsche Cayenne S E2 I,81075,2016-08-30 10:39:40.883000000
2254,WP0AB29922S687484,2002 Porsche 911 Turbo Coupe,133975,2016-08-30 11:23:49.540000000
2255,WP0AB29941S686772,2001 Porsche 911 Turbo Coupe,118550,2016-08-30 11:37:18.377000000
2256,WP0AB29932S686618,2002 Porsche 911 Turbo Coupe,128745,2016-08-30 11:44:55.817000000
2257,WP0AA29964S621719,2004 Porsche 40 Year 911,91475,2016-08-30 11:52:07.697000000
2258,WP0AB299X3S686620,2003 Porsche 911 Turbo Coupe,150310,2016-08-30 11:52:39.110000000
2259,WP0AB2A89CS793452,2012 Porsche Cayman R,76535,2016-08-30 11:53:10.953000000
2260,WP0AB29982S685769,2002 Porsche 911 Turbo Coupe,122330,2016-08-30 13:50:15.333000000
2261,WP0AB29933S686541,2003 Porsche 911 Turbo Coupe,137925,2016-08-30 14:43:33.353000000
2262,WP0AB29922S685542,2002 Porsche 911 Turbo Coupe,131755,2016-08-30 14:49:37.137000000
2263,WP0AB29963S686579,2003 Porsche 911 Turbo Coupe,124525,2016-08-30 15:35:08.640000000
2264,WP0AB29953S686590,2003 Porsche 911 Turbo Coupe,118995,2016-08-30 16:03:35.937000000
